Local time,Open,High,Low,Close,Volume
01.01.2022 00:00:00.000 GMT+0900,115.082,115.126,115.081,115.099,1267.7
01.01.2022 00:15:00.000 GMT+0900,115.102,115.108,115.037,115.066,1068.15
01.01.2022 00:30:00.000 GMT+0900,115.066,115.093,115.052,115.056,815.15
01.01.2022 00:45:00.000 GMT+0900,115.057,115.158,115.010,115.145,2983.34
01.01.2022 01:00:00.000 GMT+0900,115.146,115.196,115.115,115.115,2345.94
01.01.2022 01:15:00.000 GMT+0900,115.114,115.156,115.105,115.135,607.19
01.01.2022 01:30:00.000 GMT+0900,115.135,115.143,115.121,115.130,334.39
01.01.2022 01:45:00.000 GMT+0900,115.129,115.134,115.092,115.094,262.89
01.01.2022 02:00:00.000 GMT+0900,115.093,115.109,115.081,115.081,198.51
01.01.2022 02:15:00.000 GMT+0900,115.087,115.090,115.044,115.051,322.47
01.01.2022 02:30:00.000 GMT+0900,115.051,115.097,115.051,115.090,286.6
01.01.2022 02:45:00.000 GMT+0900,115.088,115.090,115.017,115.025,755.95
01.01.2022 03:00:00.000 GMT+0900,115.027,115.090,115.022,115.089,296.12
01.01.2022 03:15:00.000 GMT+0900,115.094,115.102,115.047,115.047,380.22
01.01.2022 03:30:00.000 GMT+0900,115.048,115.057,115.048,115.051,167.77
01.01.2022 03:45:00.000 GMT+0900,115.050,115.062,115.040,115.056,63.94
01.01.2022 04:00:00.000 GMT+0900,115.053,115.069,115.048,115.056,366.06
01.01.2022 04:15:00.000 GMT+0900,115.057,115.063,115.034,115.063,107.08
01.01.2022 04:30:00.000 GMT+0900,115.063,115.096,115.062,115.091,76.03
01.01.2022 04:45:00.000 GMT+0900,115.094,115.097,115.080,115.081,344.78
01.01.2022 05:00:00.000 GMT+0900,115.081,115.097,115.081,115.095,98.83
01.01.2022 05:15:00.000 GMT+0900,115.096,115.113,115.072,115.080,347.1
01.01.2022 05:30:00.000 GMT+0900,115.080,115.086,115.048,115.052,329.7
01.01.2022 05:45:00.000 GMT+0900,115.051,115.109,115.032,115.092,587.51
01.01.2022 06:00:00.000 GMT+0900,115.092,115.093,115.053,115.057,223.28
01.01.2022 06:15:00.000 GMT+0900,115.057,115.072,115.046,115.062,298.69
01.01.2022 06:30:00.000 GMT+0900,115.063,115.084,115.061,115.081,117.64
01.01.2022 06:45:00.000 GMT+0900,115.081,115.117,115.069,115.091,323.02
01.01.2022 07:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 07:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 07:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 07:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 08:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 08:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 08:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 08:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 09:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 09:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 09:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 09:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 10:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 10:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 10:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 10:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 11:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 11:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 11:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 11:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 12:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 12:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 12:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 12:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 13:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 13:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 13:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 13:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 14:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 14:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 14:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 14:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 15:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 15:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 15:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 15:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 16:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 16:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 16:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 16:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 17:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 17:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 17:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 17:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 18:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 18:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 18:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 18:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 19:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 19:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 19:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 19:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 20:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 20:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 20:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 20:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 21:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 21:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 21:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 21:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 22:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 22:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 22:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 22:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 23:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 23:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 23:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
01.01.2022 23:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 00:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 00:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 00:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 00:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 01:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 01:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 01:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 01:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 02:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 02:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 02:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 02:45:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 03:00:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 03:15:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
02.01.2022 03:30:00.000 GMT+0900,115.091,115.091,115.091,115.091,0
